Date,Value,Anomaly
189501,27.3,-4.1
189601,27.6,-3.8
189701,28.4,-3.0
189801,33.0,1.6
189901,28.9,-2.5
190001,29.9,-1.5
190101,30.3,-1.1
190201,28.1,-3.3
190301,28.3,-3.1
190401,23.0,-8.4
190501,26.5,-4.9
190601,35.6,4.2
190701,32.1,0.7
190801,30.2,-1.2
190901,32.1,0.7
191001,29.2,-2.2
191101,33.9,2.5
191201,22.3,-9.1
191301,39.4,8.0
191401,30.1,-1.3
191501,33.0,1.6
191601,34.5,3.1
191701,31.4,0.0
191801,20.3,-11.1
191901,34.2,2.8
192001,22.7,-8.7
192101,32.6,1.2
192201,27.4,-4.0
192301,28.9,-2.5
192401,31.6,0.2
192501,27.4,-4.0
192601,30.9,-0.5
192701,29.9,-1.5
192801,32.9,1.5
192901,30.6,-0.8
193001,31.9,0.5
193101,31.4,0.0
193201,41.8,10.4
193301,38.9,7.5
193401,33.5,2.1
193501,27.7,-3.7
193601,28.1,-3.3
193701,39.1,7.7
193801,31.0,-0.4
193901,31.0,-0.4
194001,23.8,-7.6
194101,28.2,-3.2
194201,29.6,-1.8
194301,29.6,-1.8
194401,32.7,1.3
194501,24.0,-7.4
194601,33.2,1.8
194701,36.2,4.8
194801,24.3,-7.1
194901,37.3,5.9
195001,40.3,8.9
195101,35.1,3.7
195201,34.8,3.4
195301,36.3,4.9
195401,29.7,-1.7
195501,30.1,-1.3
195601,31.2,-0.2
195701,27.7,-3.7
195801,31.0,-0.4
195901,30.4,-1.0
196001,33.0,1.6
196101,26.5,-4.9
196201,31.4,0.0
196301,28.9,-2.5
196401,34.4,3.0
196501,28.5,-2.9
196601,31.0,-0.4
196701,36.1,4.7
196801,25.5,-5.9
196901,30.6,-0.8
197001,23.9,-7.5
197101,25.7,-5.7
197201,33.8,2.4
197301,34.3,2.9
197401,34.4,3.0
197501,36.5,5.1
197601,26.5,-4.9
197701,21.4,-10.0
197801,27.2,-4.2
197901,30.9,-0.5
198001,32.2,0.8
198101,24.9,-6.5
198201,24.8,-6.6
198301,33.1,1.7
198401,28.5,-2.9
198501,27.5,-3.9
198601,33.3,1.9
198701,31.5,0.1
198801,28.7,-2.7
198901,36.6,5.2
199001,40.5,9.1
199101,34.1,2.7
199201,34.9,3.5
199301,35.5,4.1
199401,24.7,-6.7
199501,37.3,5.9
199601,30.5,-0.9
199701,32.1,0.7
199801,40.0,8.6
199901,33.9,2.5
200001,31.3,-0.1
200101,33.6,2.2
200201,39.9,8.5
200301,27.5,-3.9
200401,24.7,-6.7
200501,31.3,-0.1
200601,40.9,9.5
200701,37.5,6.1
200801,36.5,5.1
200901,27.9,-3.5
201001,32.5,1.1
201101,29.7,-1.7
201201,37.3,5.9
201301,35.1,3.7
201401,28.7,-2.7
201501,30.0,-1.4
201601,34.5,3.1
201701,38.1,6.7
201801,31.8,0.4
201901,32.6,1.2
202001,39.2,7.8
202101,34.8,3.4
